id,card_name,foundry,process_size,transistors,die_size,architecture,slot_width,tdp,base_clock,mem_clock,directX_ver,opengl_ver,opencl_ver,vulkan_ver,cuda_ver,shader_model_ver,mem_size,mem_type,mem_bus,bandwidth,pixel_rate,texture_rate,FP16_rate,FP32_rate,FP64_rate,shading_units,production_status,release_date
76,NVIDIA Quadro Plex 2100 S4,TSMC,90 nm,681 million,484 mm²,Tesla,,640 W,,"800 MHz
										
					1600 Mbps effective",11.1 (10_0),3.3,1.1 (1.0),N/A,1.0,4.0,1536 MB,GDDR3,384 bit,76.80 GB/s,14.40 GPixel/s,38.40 GTexel/s,,345.6 GFLOPS,,128,End-of-life,"Jul 25th, 2008"
77,NVIDIA GeForce4 MX 440-SE,TSMC,150 nm,29 million,65 mm²,Celsius,Single-slot,unknown,,"166 MHz
										
					332 Mbps effective",7.0,1.5,N/A,N/A,,,64 MB,DDR,128 bit,5.312 GB/s,500.0 MPixel/s,1.000 GTexel/s,,,,,End-of-life,"Feb 6th, 2002"
78,NVIDIA GP104,TSMC,16 nm,"7,200 million",314 mm²,Pascal,,,,,12 (12_1),4.6,3.0,1.3,6.1,6.7,,,,,,,,,,2560,,"May 27th, 2016"
79,ATI Radeon X1650 SE,UMC,90 nm,105 million,100 mm²,Ultra-Threaded SE,Single-slot,27 W,,"400 MHz
										
					800 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,512 MB,DDR2,128 bit,12.80 GB/s,2.540 GPixel/s,2.540 GTexel/s,,,,,End-of-life,2007
80,Intel Xeon Phi 5110P,Intel,22 nm,"5,000 million",720 mm²,Knights,Dual-slot,225 W,,"1250 MHz
										
					5 Gbps effective",N/A,N/A,1.2,N/A,,5.0,8 GB,GDDR5,512 bit,320.0 GB/s,0 MPixel/s,33.70 GTexel/s,,2.022 TFLOPS,,960,End-of-life,"Nov 12th, 2012"
81,AMD FirePro V5900,TSMC,40 nm,"2,640 million",389 mm²,TeraScale 3,Single-slot,75 W,,"500 MHz
										
					2 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,2 GB,GDDR5,256 bit,64.00 GB/s,19.20 GPixel/s,19.20 GTexel/s,,614.4 GFLOPS,153.6 GFLOPS (1:4),512,End-of-life,"May 24th, 2011"
82,NVIDIA GeForce GTX 1630,TSMC,12 nm,"4,700 million",200 mm²,Turing,Single-slot,75 W,1740 MHz,"1500 MHz
										
					12 Gbps effective",12 (12_1),4.6,3.0,1.3,7.5,6.7,4 GB,GDDR6,64 bit,96.00 GB/s,28.56 GPixel/s,57.12 GTexel/s,3.656 TFLOPS (2:1),1.828 TFLOPS,57.12 GFLOPS (1:32),512,Active,"Jun 28th, 2022"
83,AMD Radeon HD 6370M,TSMC,40 nm,292 million,59 mm²,TeraScale 2,,11 W,,"800 MHz
										
					1600 Mbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,GDDR3,64 bit,12.80 GB/s,3.000 GPixel/s,6.000 GTexel/s,,120.0 GFLOPS,,80,End-of-life,"Nov 26th, 2010"
84,NVIDIA GeForce 7800 GS+ 20Pipes AGP,TSMC,90 nm,278 million,196 mm²,Curie,Single-slot,75 W,,"625 MHz
										
					1250 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,512 MB,GDDR3,256 bit,40.00 GB/s,6.800 GPixel/s,8.500 GTexel/s,,,,,End-of-life,"Sep 28th, 2006"
85,3dfx Voodoo3 3000 PCI,TSMC,250 nm,8.2 million,74 mm²,,Single-slot,15 W,,166 MHz,6.0,1.1,N/A,N/A,,,16 MB,SDR,128 bit,2.656 GB/s,166.0 MPixel/s,332.0 MTexel/s,,,,,End-of-life,"Apr 3rd, 1999"
86,ATI FirePro V8700,TSMC,55 nm,956 million,256 mm²,TeraScale,Dual-slot,151 W,,"850 MHz
										
					3.4 Gbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,1024 MB,GDDR5,256 bit,108.8 GB/s,12.00 GPixel/s,30.00 GTexel/s,,"1,200 GFLOPS",240.0 GFLOPS (1:5),800,End-of-life,"Sep 11th, 2008"
87,AMD Radeon RX 480,GlobalFoundries,14 nm,"5,700 million",232 mm²,GCN 4.0,Dual-slot,150 W,1120 MHz,"2000 MHz
										
					8 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,8 GB,GDDR5,256 bit,256.0 GB/s,40.51 GPixel/s,182.3 GTexel/s,5.834 TFLOPS (1:1),5.834 TFLOPS,364.6 GFLOPS (1:16),2304,Active,"Jun 29th, 2016"
88,ATI Radeon HD 4710,TSMC,55 nm,514 million,146 mm²,TeraScale,Single-slot,59 W,,"800 MHz
										
					1600 Mbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,1024 MB,GDDR3,128 bit,25.60 GB/s,6.000 GPixel/s,24.00 GTexel/s,,480.0 GFLOPS,,320,End-of-life,"Sep 10th, 2008"
89,AMD Radeon R9 M390 Mac Edition,TSMC,28 nm,"2,800 million",212 mm²,GCN 1.0,MXM Module,80 W,,"1365 MHz
										
					5.5 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,256 bit,174.7 GB/s,30.66 GPixel/s,61.31 GTexel/s,,1.962 TFLOPS,122.6 GFLOPS (1:16),1024,End-of-life,"May 5th, 2015"
90,ATI RS480,,110 nm,107 million,74 mm²,R300,,,,,9.0,2.0,N/A,N/A,,,,,,,,,,,,,,"Nov 8th, 2004"
91,NVIDIA Quadro RTX 8000,TSMC,12 nm,"18,600 million",754 mm²,Turing,Dual-slot,260 W,1395 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,48 GB,GDDR6,384 bit,672.0 GB/s,169.9 GPixel/s,509.8 GTexel/s,32.62 TFLOPS (2:1),16.31 TFLOPS,509.8 GFLOPS (1:32),4608,Active,"Aug 13th, 2018"
92,NVIDIA G73B,TSMC,80 nm,177 million,100 mm²,Curie,,,,,9.0c (9_3),2.1,N/A,N/A,,3.0,,,,,,,,,,,,"Mar 9th, 2006"
93,AMD Radeon E9260 PCIe,GlobalFoundries,14 nm,"3,000 million",123 mm²,GCN 4.0,Single-slot,80 W,1090 MHz,"1750 MHz
										
					7 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,4 GB,GDDR5,128 bit,112.0 GB/s,19.20 GPixel/s,57.60 GTexel/s,2.150 TFLOPS (1:1),2.150 TFLOPS,134.4 GFLOPS (1:16),896,Active,"Sep 27th, 2016"
94,NVIDIA Tesla P100 PCIe 12 GB,TSMC,16 nm,"15,300 million",610 mm²,Pascal,Dual-slot,250 W,1190 MHz,"715 MHz
										
					1430 Mbps effective",12 (12_1),4.6,3.0,1.3,6.0,6.0,12 GB,HBM2,3072 bit,549.1 GB/s,127.6 GPixel/s,297.7 GTexel/s,19.05 TFLOPS (2:1),9.526 TFLOPS,4.763 TFLOPS (1:2),3584,End-of-life,"Jun 20th, 2016"
95,AMD FirePro W4130M,TSMC,28 nm,950 million,77 mm²,GCN 1.0,MXM Module,unknown,775 MHz,"1000 MHz
										
					4 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),1024 MB,GDDR5,128 bit,64.00 GB/s,6.600 GPixel/s,19.80 GTexel/s,,633.6 GFLOPS,,384,End-of-life,Unknown
96,NVIDIA GeForce 9800 GTX+,TSMC,55 nm,754 million,260 mm²,Tesla,Dual-slot,141 W,,"1100 MHz
										
					2.2 Gbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,256 bit,70.40 GB/s,11.81 GPixel/s,47.23 GTexel/s,,470.0 GFLOPS,,128,End-of-life,"Jan 16th, 2009"
97,NVIDIA GeForce Go 7900 SE,TSMC,90 nm,177 million,125 mm²,Curie,,20 W,,"333 MHz
										
					666 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,GDDR3,256 bit,21.31 GB/s,2.800 GPixel/s,4.200 GTexel/s,,,,,End-of-life,"Apr 18th, 2006"
98,NVIDIA NVS 5400M,TSMC,40 nm,585 million,116 mm²,Fermi,MXM Module,35 W,,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,2 GB,GDDR3,128 bit,28.80 GB/s,2.640 GPixel/s,10.56 GTexel/s,,253.4 GFLOPS,21.12 GFLOPS (1:12),96,End-of-life,"Jun 1st, 2012"
99,ATI Radeon HD 2900 GT,TSMC,80 nm,720 million,420 mm²,TeraScale,Dual-slot,150 W,,"800 MHz
										
					1600 Mbps effective",10.0 (10_0),"3.3 (full)
					4.0 (partial)",N/A,N/A,,4.0,256 MB,GDDR3,256 bit,51.20 GB/s,7.212 GPixel/s,7.212 GTexel/s,,288.5 GFLOPS,,240,End-of-life,"Nov 6th, 2007"
100,AMD Radeon HD 6490M,TSMC,40 nm,370 million,67 mm²,TeraScale 2,,unknown,,"800 MHz
										
					3.2 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,512 MB,GDDR5,64 bit,25.60 GB/s,3.200 GPixel/s,6.400 GTexel/s,,256.0 GFLOPS,,160,End-of-life,"Jan 4th, 2011"
101,AMD Spectre,GlobalFoundries,28 nm,"2,410 million",245 mm²,GCN 2.0,,,,,12 (12_0),4.6,2.1,1.2.170,,6.5,,,,,,,,,,512,,"Jan 11th, 2014"
102,NVIDIA NV31,TSMC,130 nm,80 million,121 mm²,Rankine,,,,,9.0a,"1.5 (full)
					2.0 (partial)",N/A,N/A,,,,,,,,,,,,,,"Mar 1st, 2003"
103,ATI 3D Rage IIC PCI,UMC,500 nm,5 million,39 mm²,Rage 2,Single-slot,unknown,,83 MHz,5.0,N/A,N/A,N/A,,,2 MB,SDR,64 bit,664.0 MB/s,60.00 MPixel/s,60.00 MTexel/s,,,,,End-of-life,"Sep 1st, 1996"
104,ATI Radeon HD 4855,TSMC,55 nm,956 million,256 mm²,TeraScale,Dual-slot,110 W,,"900 MHz
										
					3.6 Gbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,512 MB,GDDR5,256 bit,115.2 GB/s,9.200 GPixel/s,18.40 GTexel/s,,736.0 GFLOPS,147.2 GFLOPS (1:5),640,End-of-life,"Jan 3rd, 2010"
105,ATI Radeon Xpress 1100 Mobile IGP,,130 nm,unknown,73 mm²,R300,IGP,unknown,,System Shared,9.0 (9_0),2.0,N/A,N/A,,,System Shared,System Shared,System Shared,System Dependent,672.0 MPixel/s,672.0 MTexel/s,,,,,End-of-life,2005
106,AMD Radeon R7 340 OEM,TSMC,28 nm,950 million,77 mm²,GCN 1.0,Single-slot,50 W,730 MHz,"1000 MHz
										
					4 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,128 bit,64.00 GB/s,6.240 GPixel/s,18.72 GTexel/s,,599.0 GFLOPS,37.44 GFLOPS (1:16),384,End-of-life,"May 5th, 2015"
107,Intel HD Graphics 3000 Mobile,Intel,32 nm,"1,160 million",216 mm²,Generation 6.0,IGP,unknown,650 MHz,System Shared,11.1 (10_1),3.1,N/A,N/A,,4.1,System Shared,System Shared,System Shared,System Dependent,2.600 GPixel/s,15.60 GTexel/s,,249.6 GFLOPS,,96,End-of-life,"Feb 1st, 2011"
108,NVIDIA G94,TSMC,65 nm,505 million,240 mm²,Tesla,,,,,11.1 (10_0),3.3,1.1,N/A,1.1,4.0,,,,,,,,,,64,,"Feb 21st, 2008"
109,AMD Radeon RX 590,GlobalFoundries,12 nm,"5,700 million",232 mm²,GCN 4.0,Dual-slot,175 W,1469 MHz,"2000 MHz
										
					8 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,8 GB,GDDR5,256 bit,256.0 GB/s,49.44 GPixel/s,222.5 GTexel/s,7.119 TFLOPS (1:1),7.119 TFLOPS,445.0 GFLOPS (1:16),2304,Active,"Nov 15th, 2018"
110,Intel Iris Pro Graphics 580 Mobile,Intel,14 nm+,unknown,unknown,Generation 9.0,IGP,15 W,350 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.4,System Shared,System Shared,System Shared,System Dependent,8.550 GPixel/s,68.40 GTexel/s,2.189 TFLOPS (2:1),"1,094 GFLOPS",273.6 GFLOPS (1:4),576,Active,"Sep 1st, 2015"
111,NVIDIA GeForce 9800S,TSMC,65 nm,505 million,240 mm²,Tesla,IGP,75 W,,"799 MHz
										
					1598 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,256 bit,51.14 GB/s,9.600 GPixel/s,19.20 GTexel/s,,192.0 GFLOPS,,64,End-of-life,"Jul 15th, 2008"
112,Intel Cedarview,Intel,65 nm,unknown,unknown,PowerVR SGX545,,,,,10.1,ES 2.0,N/A,N/A,,4.1,,,,,,,,,,32,,"Oct 1st, 2008"
113,ATI Radeon HD 3850 X2,TSMC,55 nm,666 million,192 mm²,TeraScale,Dual-slot,140 W,,"828 MHz
										
					1656 Mbps effective",10.1 (10_1),"3.3 (full)
					4.0 (partial)",N/A,N/A,,4.1,512 MB,GDDR3,256 bit,52.99 GB/s,10.70 GPixel/s,10.70 GTexel/s,,428.2 GFLOPS,85.63 GFLOPS (1:5),320,End-of-life,"Apr 4th, 2008"
114,AMD Radeon R9 M275,TSMC,28 nm,"1,500 million",123 mm²,GCN 1.0,,unknown,900 MHz,"1000 MHz
										
					4 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,128 bit,64.00 GB/s,14.80 GPixel/s,37.00 GTexel/s,,"1,184 GFLOPS",74.00 GFLOPS (1:16),640,End-of-life,"Jan 28th, 2014"
115,NVIDIA ION 2,TSMC,40 nm,260 million,57 mm²,Tesla 2.0,IGP,20 W,,System Shared,11.1 (10_1),3.3,1.1,N/A,1.2,4.1,System Shared,System Shared,System Shared,System Dependent,2.000 GPixel/s,4.000 GTexel/s,,34.24 GFLOPS,,16,End-of-life,"Jun 3rd, 2008"
116,ATI Radeon HD 2400,TSMC,65 nm,180 million,85 mm²,TeraScale,Single-slot,20 W,,"495 MHz
										
					990 Mbps effective",10.0 (10_0),3.3,N/A,N/A,,4.0,256 MB,DDR2,64 bit,7.920 GB/s,1.592 GPixel/s,1.592 GTexel/s,,31.84 GFLOPS,,40,End-of-life,"Feb 19th, 2008"
117,NVIDIA GeForce GTX 1060 6 GB GDDR5X,TSMC,16 nm,"7,200 million",314 mm²,Pascal,Dual-slot,120 W,1506 MHz,"1001 MHz
										
					8 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,6 GB,GDDR5X,192 bit,192.2 GB/s,82.03 GPixel/s,136.7 GTexel/s,68.36 GFLOPS (1:64),4.375 TFLOPS,136.7 GFLOPS (1:32),1280,End-of-life,"Oct 18th, 2018"
118,NVIDIA GeForce GTX 1060 6 GB 9Gbps,TSMC,16 nm,"4,400 million",200 mm²,Pascal,Dual-slot,120 W,1506 MHz,"2257 MHz
										
					9 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,6 GB,GDDR5,192 bit,216.7 GB/s,82.03 GPixel/s,136.7 GTexel/s,68.36 GFLOPS (1:64),4.375 TFLOPS,136.7 GFLOPS (1:32),1280,End-of-life,"Apr 20th, 2017"
119,AMD FirePro A300,GlobalFoundries,32 nm,"1,303 million",246 mm²,TeraScale 3,IGP,65 W,760 MHz,System Shared,11.2 (11_0),4.4,1.2,N/A,,5.0,System Shared,System Shared,System Shared,System Dependent,7.240 GPixel/s,21.72 GTexel/s,,695.0 GFLOPS,,384,End-of-life,"Jun 6th, 2012"
120,ATI FireGL 9800 X2-256,TSMC,150 nm,117 million,218 mm²,R300,Single-slot,unknown,,"350 MHz
										
					700 Mbps effective",9.0,2.0,N/A,N/A,,,256 MB,DDR2,256 bit,22.40 GB/s,3.040 GPixel/s,3.040 GTexel/s,,,,,End-of-life,"Mar 1st, 2003"
121,NVIDIA Quadro FX 550,TSMC,110 nm,146 million,154 mm²,Curie,Single-slot,30 W,,"400 MHz
										
					800 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,128 MB,GDDR3,128 bit,12.80 GB/s,2.880 GPixel/s,2.880 GTexel/s,,,,,End-of-life,"Apr 20th, 2006"
122,NVIDIA Quadro P6000,TSMC,16 nm,"11,800 million",471 mm²,Pascal,Dual-slot,250 W,1506 MHz,"1127 MHz
										
					9 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,24 GB,GDDR5X,384 bit,432.8 GB/s,157.9 GPixel/s,394.8 GTexel/s,197.4 GFLOPS (1:64),12.63 TFLOPS,394.8 GFLOPS (1:32),3840,End-of-life,"Oct 1st, 2016"
123,NVIDIA GRID K540Q,TSMC,28 nm,"3,540 million",294 mm²,Kepler,Dual-slot,225 W,,"1250 MHz
										
					5 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),4 GB,GDDR5,256 bit,160.0 GB/s,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),1536,End-of-life,"Jul 2nd, 2014"
124,ATI Radeon 9800 XT Mac Edition,TSMC,150 nm,117 million,218 mm²,R300,Single-slot,60 W,,"365 MHz
										
					730 Mbps effective",9.0,2.0,N/A,N/A,,,256 MB,DDR,256 bit,23.36 GB/s,3.296 GPixel/s,3.296 GTexel/s,,,,,End-of-life,"Mar 14th, 2004"
125,AMD Playstation 5 GPU,TSMC,6 nm,"10,600 million",unknown,RDNA 2.0,,180 W,,"1750 MHz
										
					14 Gbps effective",N/A,4.6,1.2,1.2,,N/A,16 GB,GDDR6,256 bit,448.0 GB/s,142.9 GPixel/s,321.6 GTexel/s,20.58 TFLOPS (2:1),10.29 TFLOPS,643.1 GFLOPS (1:16),2304,Active,"Sep 28th, 2022"
126,Intel GMA 900,Intel,130 nm,unknown,unknown,Generation 3.0,IGP,unknown,,System Shared,9.0c,1.4,N/A,N/A,,3.0,System Shared,System Shared,System Shared,System Dependent,1.332 GPixel/s,1.332 GTexel/s,,,,,End-of-life,"Jun 1st, 2004"
127,NVIDIA GeForce GT 710 PCIe x1,TSMC,28 nm,"1,020 million",87 mm²,Kepler 2.0,Single-slot,19 W,,"800 MHz
										
					1600 Mbps effective",12 (11_0),4.6,3.0,1.2.175,3.5,6.5 (5.1),1024 MB,DDR3,64 bit,12.80 GB/s,3.816 GPixel/s,15.26 GTexel/s,,366.3 GFLOPS,15.26 GFLOPS (1:24),192,End-of-life,"Mar 27th, 2014"
128,AMD Radeon Pro WX 8200,GlobalFoundries,14 nm,"12,500 million",495 mm²,GCN 5.0,Dual-slot,230 W,1200 MHz,"1000 MHz
										
					2 Gbps effective",12 (12_1),4.6,2.1,1.3,,6.7,8 GB,HBM2,2048 bit,512.0 GB/s,96.00 GPixel/s,336.0 GTexel/s,21.50 TFLOPS (2:1),10.75 TFLOPS,672.0 GFLOPS (1:16),3584,Active,"Aug 13th, 2018"
129,NVIDIA GeForce GT 710,TSMC,40 nm,292 million,79 mm²,Fermi 2.0,Single-slot,29 W,,"898 MHz
										
					1796 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,64 bit,14.37 GB/s,1.620 GPixel/s,6.480 GTexel/s,,155.5 GFLOPS,12.96 GFLOPS (1:12),48,End-of-life,"Jan 26th, 2016"
130,AMD Radeon HD 7570M,TSMC,40 nm,716 million,118 mm²,TeraScale 2,,13 W,,"800 MHz
										
					3.2 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,GDDR5,64 bit,25.60 GB/s,8.000 GPixel/s,12.00 GTexel/s,,480.0 GFLOPS,,480,End-of-life,"Jan 7th, 2012"
131,AMD Radeon R7 M360,TSMC,28 nm,"1,550 million",125 mm²,GCN 3.0,,unknown,1100 MHz,"900 MHz
										
					1800 Mbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,2 GB,DDR3,64 bit,14.40 GB/s,9.000 GPixel/s,27.00 GTexel/s,864.0 GFLOPS (1:1),864.0 GFLOPS,54.00 GFLOPS (1:16),384,End-of-life,"May 5th, 2015"
132,ATI Radeon HD 5550,TSMC,40 nm,627 million,104 mm²,TeraScale 2,Single-slot,39 W,,"800 MHz
										
					3.2 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,512 MB,GDDR5,128 bit,51.20 GB/s,4.400 GPixel/s,8.800 GTexel/s,,352.0 GFLOPS,,320,End-of-life,"Feb 9th, 2010"
133,AMD FirePro W8000,TSMC,28 nm,"4,313 million",352 mm²,GCN 1.0,Dual-slot,225 W,,"1375 MHz
										
					5.5 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),4 GB,GDDR5,256 bit,176.0 GB/s,28.80 GPixel/s,100.8 GTexel/s,,3.226 TFLOPS,806.4 GFLOPS (1:4),1792,End-of-life,"Jun 14th, 2012"
134,Matrox Parhelia 128 MB,UMC,150 nm,80 million,174 mm²,Parhelia,Single-slot,unknown,,"250 MHz
										
					500 Mbps effective",8.1,1.3,N/A,N/A,,,128 MB,DDR,256 bit,16.00 GB/s,800.0 MPixel/s,3.200 GTexel/s,,,,,End-of-life,"Jun 25th, 2002"
135,NVIDIA GeForce 6600 GT AGP,TSMC,110 nm,146 million,154 mm²,Curie,Single-slot,47 W,,"475 MHz
										
					950 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,128 MB,GDDR3,128 bit,15.20 GB/s,2.000 GPixel/s,4.000 GTexel/s,,,,,End-of-life,"Nov 14th, 2004"
136,NVIDIA GeForce 9500M GS,TSMC,80 nm,289 million,169 mm²,Tesla,,20 W,,"700 MHz
										
					1400 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,128 bit,22.40 GB/s,3.800 GPixel/s,7.600 GTexel/s,,60.80 GFLOPS,,32,End-of-life,"Feb 1st, 2008"
137,NVIDIA GeForce RTX 2080 Ti,TSMC,12 nm,"18,600 million",754 mm²,Turing,Dual-slot,250 W,1350 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,11 GB,GDDR6,352 bit,616.0 GB/s,136.0 GPixel/s,420.2 GTexel/s,26.90 TFLOPS (2:1),13.45 TFLOPS,420.2 GFLOPS (1:32),4352,Active,"Sep 20th, 2018"
138,NVIDIA Quadro 4100,TSMC,28 nm,"3,540 million",294 mm²,Kepler,Single-slot,35 W,,"891 MHz
										
					1782 Mbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),2 GB,DDR3,256 bit,57.02 GB/s,22.32 GPixel/s,89.26 GTexel/s,,2.142 TFLOPS,89.26 GFLOPS (1:24),1344,End-of-life,Unknown
139,AMD Radeon R5 220 OEM,TSMC,40 nm,292 million,59 mm²,TeraScale 2,Single-slot,19 W,,"533 MHz
										
					1066 Mbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,DDR3,64 bit,8.528 GB/s,2.600 GPixel/s,5.200 GTexel/s,,104.0 GFLOPS,,80,End-of-life,"Dec 21st, 2013"
140,Intel Iris Xe MAX Graphics,Intel,10 nm,unknown,95 mm²,Generation 12.1,IGP,25 W,300 MHz,"2133 MHz
										
					4.3 Gbps effective",12 (12_1),4.6,3.0,1.3,,6.6,4 GB,LPDDR4X,128 bit,68.26 GB/s,39.60 GPixel/s,79.20 GTexel/s,5.069 TFLOPS (2:1),2.534 TFLOPS,633.6 GFLOPS (1:4),768,Active,"Oct 31st, 2020"
141,AMD Radeon RX Vega M GL,GlobalFoundries,14 nm,"5,000 million",208 mm²,GCN 4.0,IGP,65 W,931 MHz,"700 MHz
										
					1400 Mbps effective",12 (12_0),4.6,2.1,1.3,,6.7,4 GB,HBM2,1024 bit,179.2 GB/s,32.35 GPixel/s,80.88 GTexel/s,2.588 TFLOPS (1:1),2.588 TFLOPS,161.8 GFLOPS (1:16),1280,Active,"Feb 1st, 2018"
142,NVIDIA GeForce 710M,TSMC,28 nm,585 million,116 mm²,Fermi 2.0,,15 W,,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,64 bit,14.40 GB/s,3.100 GPixel/s,12.40 GTexel/s,,297.6 GFLOPS,24.80 GFLOPS (1:12),96,End-of-life,"Jan 9th, 2013"
143,AMD Phoenix,TSMC,4 nm,unknown,178 mm²,RDNA 3.0,,,,,12 Ultimate (12_2),4.6,2.1,1.3,,6.7,,,,,,,,,,768,,"Jan 4th, 2023"
144,NVIDIA GeForce RTX 3050 4 GB,Samsung,8 nm,"8,700 million",200 mm²,Ampere,Dual-slot,90 W,1545 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,4 GB,GDDR6,128 bit,224.0 GB/s,55.68 GPixel/s,125.3 GTexel/s,8.018 TFLOPS (1:1),8.018 TFLOPS,125.3 GFLOPS (1:64),2304,Active,Never Released
145,NVIDIA GeForce GT 625M,TSMC,28 nm,585 million,116 mm²,Fermi 2.0,IGP,15 W,,"800 MHz
										
					1600 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,2 GB,DDR3,64 bit,12.80 GB/s,2.500 GPixel/s,10.00 GTexel/s,,240.0 GFLOPS,20.00 GFLOPS (1:12),96,End-of-life,"Oct 1st, 2012"
146,NVIDIA GeForce 310M,TSMC,40 nm,260 million,57 mm²,Tesla 2.0,IGP,14 W,,"790 MHz
										
					1580 Mbps effective",11.1 (10_1),3.3,1.1,N/A,1.2,4.1,512 MB,GDDR3,64 bit,12.64 GB/s,2.500 GPixel/s,5.000 GTexel/s,,48.96 GFLOPS,,16,End-of-life,"Jan 10th, 2010"
147,NVIDIA GeForce 9300M GS GDDR3,UMC,55 nm,210 million,80 mm²,Tesla,MXM Module,13 W,,"702 MHz
										
					1404 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,256 MB,GDDR3,64 bit,11.23 GB/s,2.320 GPixel/s,2.320 GTexel/s,,23.20 GFLOPS,,8,End-of-life,"Jun 4th, 2008"
148,AMD Radeon HD 6290,TSMC,40 nm,292 million,59 mm²,TeraScale 2,Single-slot,19 W,,"800 MHz
										
					1600 Mbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,GDDR3,64 bit,12.80 GB/s,2.600 GPixel/s,5.200 GTexel/s,,104.0 GFLOPS,,80,End-of-life,"Dec 4th, 2011"
149,NVIDIA GK106S,TSMC,28 nm,"2,540 million",221 mm²,Kepler,,,,,12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),,,,,,,,,,768,,"Oct 9th, 2012"
150,ATI FirePro M5800,TSMC,40 nm,627 million,104 mm²,TeraScale 2,,26 W,,"800 MHz
										
					3.2 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,GDDR5,128 bit,51.20 GB/s,5.200 GPixel/s,13.00 GTexel/s,,520.0 GFLOPS,,400,End-of-life,"Mar 1st, 2010"
151,NVIDIA GeForce 9650M GS,TSMC,80 nm,289 million,169 mm²,Tesla,,29 W,,"800 MHz
										
					1600 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,128 bit,25.60 GB/s,5.000 GPixel/s,10.00 GTexel/s,,80.00 GFLOPS,,32,End-of-life,"Mar 13th, 2008"
152,NVIDIA GeForce 7300 SE,TSMC,90 nm,112 million,81 mm²,Curie,Single-slot,unknown,,"266 MHz
										
					532 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,DDR2,64 bit,4.256 GB/s,900.0 MPixel/s,1.800 GTexel/s,,,,,End-of-life,"Mar 22nd, 2006"
